----------------------------------------ARGUMENTS----------------------------------------
data_path                                ../TripAdvisor/reviews.pickle
index_dir                                ../TripAdvisor/1/
lr                                       0.001
epochs                                   100
batch_size                               128
cuda                                     True
log_interval                             200
checkpoint                               ./tripadvisormf/
outf                                     generated.txt
endure_times                             5
rating_reg                               0.01
text_reg                                 1.0
use_mf                                   True
words                                    20
----------------------------------------ARGUMENTS----------------------------------------
[2022-01-17 19:47:57.074161]: Loading data
Special tokens have been added in the vocabulary, make sure the associated word embedding are fine-tuned or trained.
[2022-01-17 19:50:15.408800]: epoch 1
[2022-01-17 19:52:03.120744]: text ppl 577.8413 | rating loss 17.7254 |   200/ 2001 batches
[2022-01-17 21:33:21.198122]: text ppl 10.0122 | rating loss 0.2718 |  1000/ 2001 batches
[2022-01-17 21:35:09.372770]: text ppl 10.1965 | rating loss 0.2776 |  1200/ 2001 batches
[2022-01-17 21:36:57.622986]: text ppl 10.3572 | rating loss 0.2865 |  1400/ 2001 batches
[2022-01-17 21:38:45.772303]: text ppl 10.4393 | rating loss 0.2937 |  1600/ 2001 batches
[2022-01-17 21:40:33.976209]: text ppl 10.5053 | rating loss 0.3002 |  1800/ 2001 batches
[2022-01-17 21:42:22.166587]: text ppl 10.7233 | rating loss 0.3087 |  2000/ 2001 batches
[2022-01-17 21:42:22.314505]: text ppl 9.8257 | rating loss 0.2530 |  2001/ 2001 batches
[2022-01-17 21:43:08.172654]: text ppl 20.8731 | rating loss 2.4644 | valid loss 5.5029 on validation
[2022-01-17 21:43:08.173012]: Endured 1 time(s)
[2022-01-17 21:43:08.173049]: epoch 7
[2022-01-17 21:44:56.605788]: text ppl 7.2528 | rating loss 0.1792 |   200/ 2001 batches
[2022-01-17 21:46:44.830645]: text ppl 7.7017 | rating loss 0.1908 |   400/ 2001 batches
[2022-01-17 21:48:33.053600]: text ppl 8.0018 | rating loss 0.2059 |   600/ 2001 batches
[2022-01-17 21:50:21.283284]: text ppl 8.2847 | rating loss 0.2177 |   800/ 2001 batches
[2022-01-17 21:52:09.501362]: text ppl 8.4867 | rating loss 0.2258 |  1000/ 2001 batches
[2022-01-17 21:53:57.745064]: text ppl 8.6478 | rating loss 0.2349 |  1200/ 2001 batches
[2022-01-17 21:55:45.963369]: text ppl 8.8249 | rating loss 0.2470 |  1400/ 2001 batches
[2022-01-17 21:57:34.187527]: text ppl 8.9745 | rating loss 0.2497 |  1600/ 2001 batches
[2022-01-17 21:59:22.443092]: text ppl 9.0584 | rating loss 0.2545 |  1800/ 2001 batches
[2022-01-17 22:01:10.678884]: text ppl 9.2405 | rating loss 0.2587 |  2000/ 2001 batches
[2022-01-17 22:01:10.827844]: text ppl 10.1173 | rating loss 0.3721 |  2001/ 2001 batches
[2022-01-17 22:01:56.718737]: text ppl 22.6189 | rating loss 2.5280 | valid loss 5.6467 on validation
[2022-01-17 22:01:56.719103]: Endured 2 time(s)
[2022-01-17 22:01:56.719136]: epoch 8
[2022-01-17 22:03:45.157607]: text ppl 6.1310 | rating loss 0.1519 |   200/ 2001 batches
[2022-01-17 22:05:33.389461]: text ppl 6.4869 | rating loss 0.1687 |   400/ 2001 batches
[2022-01-17 22:07:21.616523]: text ppl 6.7780 | rating loss 0.1782 |   600/ 2001 batches
[2022-01-17 22:09:09.846216]: text ppl 7.0483 | rating loss 0.1904 |   800/ 2001 batches
[2022-01-17 22:10:58.076534]: text ppl 7.2123 | rating loss 0.2015 |  1000/ 2001 batches
[2022-01-17 22:12:46.301369]: text ppl 7.3910 | rating loss 0.2079 |  1200/ 2001 batches
[2022-01-17 22:14:34.537056]: text ppl 7.5578 | rating loss 0.2160 |  1400/ 2001 batches
[2022-01-17 22:16:22.761884]: text ppl 7.6625 | rating loss 0.2199 |  1600/ 2001 batches
[2022-01-17 22:18:10.996402]: text ppl 7.8422 | rating loss 0.2304 |  1800/ 2001 batches
[2022-01-17 22:19:59.240262]: text ppl 7.9274 | rating loss 0.2359 |  2000/ 2001 batches
[2022-01-17 22:19:59.387881]: text ppl 7.7238 | rating loss 0.2108 |  2001/ 2001 batches
[2022-01-17 22:20:45.325515]: text ppl 25.0871 | rating loss 2.5901 | valid loss 5.8124 on validation
[2022-01-17 22:20:45.325965]: Endured 3 time(s)
[2022-01-17 22:20:45.326022]: epoch 9
[2022-01-17 22:22:33.799437]: text ppl 5.1988 | rating loss 0.1383 |   200/ 2001 batches
[2022-01-17 22:24:22.070211]: text ppl 5.5493 | rating loss 0.1516 |   400/ 2001 batches
[2022-01-17 22:26:10.338567]: text ppl 5.7763 | rating loss 0.1654 |   600/ 2001 batches
[2022-01-17 22:27:58.590869]: text ppl 6.0341 | rating loss 0.1736 |   800/ 2001 batches
[2022-01-17 22:29:46.806732]: text ppl 6.1860 | rating loss 0.1809 |  1000/ 2001 batches
[2022-01-17 22:31:35.061531]: text ppl 6.3964 | rating loss 0.1926 |  1200/ 2001 batches
[2022-01-17 22:33:23.324918]: text ppl 6.5033 | rating loss 0.2043 |  1400/ 2001 batches
[2022-01-17 22:35:11.571965]: text ppl 6.6443 | rating loss 0.2094 |  1600/ 2001 batches
[2022-01-17 22:36:59.832834]: text ppl 6.7846 | rating loss 0.2106 |  1800/ 2001 batches
[2022-01-17 22:38:48.056572]: text ppl 6.8715 | rating loss 0.2235 |  2000/ 2001 batches
[2022-01-17 22:38:48.204126]: text ppl 6.7793 | rating loss 0.1284 |  2001/ 2001 batches
[2022-01-17 22:39:34.129278]: text ppl 28.3437 | rating loss 2.6679 | valid loss 6.0123 on validation
[2022-01-17 22:39:34.129691]: Endured 4 time(s)
[2022-01-17 22:39:34.129718]: epoch 10
[2022-01-17 22:41:22.575860]: text ppl 4.4825 | rating loss 0.1292 |   200/ 2001 batches
[2022-01-17 22:43:10.833470]: text ppl 4.7844 | rating loss 0.1451 |   400/ 2001 batches
[2022-01-17 22:44:59.085026]: text ppl 4.9953 | rating loss 0.1551 |   600/ 2001 batches
[2022-01-17 22:46:47.334291]: text ppl 5.2000 | rating loss 0.1654 |   800/ 2001 batches
[2022-01-17 22:48:35.557875]: text ppl 5.3627 | rating loss 0.1736 |  1000/ 2001 batches
[2022-01-17 22:50:23.818830]: text ppl 5.5398 | rating loss 0.1840 |  1200/ 2001 batches
[2022-01-17 22:52:12.090360]: text ppl 5.6621 | rating loss 0.1957 |  1400/ 2001 batches
[2022-01-17 22:54:00.329384]: text ppl 5.8175 | rating loss 0.1964 |  1600/ 2001 batches
[2022-01-17 22:55:48.570863]: text ppl 5.9210 | rating loss 0.2067 |  1800/ 2001 batches
[2022-01-17 22:57:36.856216]: text ppl 6.0406 | rating loss 0.2146 |  2000/ 2001 batches
[2022-01-17 22:57:37.004090]: text ppl 5.9802 | rating loss 0.3197 |  2001/ 2001 batches
[2022-01-17 22:58:22.980165]: text ppl 32.8061 | rating loss 2.7523 | valid loss 6.2430 on validation
[2022-01-17 22:58:22.980604]: Endured 5 time(s)
[2022-01-17 22:58:22.980631]: Cannot endure it anymore | Exiting from early stop
=========================================================================================
[2022-01-17 22:59:07.245593]: text ppl 19.3935 | rating loss 2.4562 on test | End of training
[2022-01-17 22:59:07.245689]: Generating text
[2022-01-17 23:08:10.013220]: RMSE  1.5630
[2022-01-17 23:08:10.019454]: MAE  1.3279
[2022-01-17 23:08:19.235544]: BLEU-1 16.6675
[2022-01-17 23:08:22.800697]: BLEU-4  1.2735
[2022-01-17 23:08:38.461635]: USR  0.2873 | USN    9193
[2022-01-17 23:12:10.345965]: DIV  3.0032
[2022-01-17 23:12:10.580306]: FCR  0.2568
[2022-01-17 23:12:10.586461]: FMR  0.0765
[2022-01-17 23:12:14.490566]: rouge_1/f_score 16.7262
[2022-01-17 23:12:14.490939]: rouge_1/r_score 16.6308
[2022-01-17 23:12:14.490963]: rouge_1/p_score 19.4961
[2022-01-17 23:12:14.490976]: rouge_2/f_score  2.3598
[2022-01-17 23:12:14.490987]: rouge_2/r_score  2.5263
[2022-01-17 23:12:14.490997]: rouge_2/p_score  2.6194
[2022-01-17 23:12:14.491007]: rouge_l/f_score 13.0945
[2022-01-17 23:12:14.491017]: rouge_l/r_score 15.3617
[2022-01-17 23:12:14.491027]: rouge_l/p_score 16.2381
[2022-01-17 23:12:14.520868]: Generated text saved to (./tripadvisormf/generated.txt)
